"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"RUA MONTE DAS OLIVEIRAS";"local";37,00;;0,00;;0,00
"RUA MONTE DAS OLIVEIRAS";"local";174,00;;0,00;;0,00
"RUA MONTE LÍBANO (VILA SÃO PEDRO)";"local";65,00;;0,00;;0,00
"RUA MONTE SINAI";"local";22,00;;0,00;;0,00
"RUA MONTEIRO LOBATO";"local";101,00;;0,00;;0,00
"RUA MT-1430";"local";262,00;;0,00;;0,00
"RUA MT-1431";"local";103,00;;0,00;;0,00
"RUA MT-1432 (CONHECIDA ANA JULIA LUIZ)";"local";226,00;;0,00;;0,00
"RUA MT-1433 - CONHECIDA JORGE RAMALHO";"local";153,00;;804,00;;0,00
"RUA MT-1435";"local";46,00;;0,00;;0,00
"RUA NASCER DO SOL";"local";173,00;;759,00;;0,00
"RUA NELLO ALBIERO";"local";127,00;;0,00;;0,00
"RUA NILSON DIAS";"local";241,00;;0,00;;0,00
"RUA NOSSA SENHORA DA PAZ";"local";48,00;;0,00;;0,00
"RUA NOVE DE SETEMBRO";"local";51,00;;247,00;;0,00
"RUA ODILA FIGUEIREDO NICOLAU";"local";253,00;;0,00;;0,00
"RUA OLÍMPIA RAMOS SILVA";"local";214,00;;281,00;;0,00
"RUA OLIVEIRA BARBOSA DOS SANTOS";"local";50,00;;220,00;;0,00
"RUA OSWALDO STUCHI";"local";478,00;;0,00;;0,00
"RUA OTACÍLIO MARQUES DA PURIFICAÇÃO";"local";300,00;;141,00;;0,00
"RUA OURO NEGRO";"local";31,00;;216,00;;0,00
"RUA PADRE ÂNGELO CERONNI";"local";323,00;;0,00;;0,00
"RUA PARAÍSO (VILA SÃO PEDRO)";"local";103,00;;0,00;;0,00
"RUA PARANÁ (VILA SÃO PEDRO)";"local";324,00;;0,00;;0,00
"RUA PASTOR FRANCISCO RODRIGUES FILHO";"local";127,00;;328,00;;0,00
"RUA PAULO JOSÉ LINS ROCHA";"local";105,00;;0,00;;0,00
"RUA PAULO LOURENÇO";"local";124,00;;0,00;;0,00
"RUA PEDRO SECOL";"local";557,00;;130,00;;0,00
"RUA PERUÍBE";"local";252,00;;514,00;;0,00
"RUA PLÍNIO CALDAS KERR";"local";151,00;;0,00;;0,00
"RUA PORTINHO";"local";42,00;;266,00;;0,00
"RUA PRIMO BECHELLI";"local";452,00;;0,00;;0,00
"RUA PRIMO HENRIQUE ZAMPIERI";"local";78,00;;0,00;;0,00
"RUA PRINCESA ISABEL (VILA DOS ESTUDANTES)";"local";90,00;;0,00;;0,00
"RUA PRINCESA ISABEL (VILA SÃO PEDRO)";"local";183,00;;0,00;;0,00
"RUA PROF. JOSÉ CARNEIRO";"local";85,00;;0,00;;0,00
"RUA PROFESSORA ADÉLIA ALVES MARTINS";"local";779,00;;0,00;;0,00
"RUA RAIMUNDO LALIA";"local";98,00;;0,00;;0,00
"RUA REALINO ADÃO";"local";123,00;;0,00;;0,00
"RUA RENY SERAFIM BUENO";"local";128,00;;0,00;;0,00
"RUA RESENDE";"local";79,00;;0,00;;0,00
"RUA REVERENDO PAULO LEIVAS MACALÃO";"local";546,00;;0,00;;0,00
"RUA RICARDO BRAVIN";"local";72,00;;0,00;;0,00
"RUA RINA FACIO MIRANDA";"local";145,00;;0,00;;0,00
"RUA SANDRA NESMAH COTRIM GENEROSO";"local";127,00;;0,00;;0,00
"RUA SANTA CRUZ (VILA SÃO PEDRO)";"local";208,00;;273,00;;0,00
"RUA SANTO ANTONIO (VILA SÃO PEDRO)";"local";405,00;;0,00;;0,00
"RUA SÃO FRANCISCO (VILA SÃO PEDRO)";"local";243,00;;0,00;;0,00
"RUA SÃO GERALDO (VILA SÃO PEDRO)";"local";199,00;;0,00;;0,00
"RUA SÃO JOÃO DEL REI (VILA SÃO PEDRO)";"local";343,00;;0,00;;0,00
"RUA SÃO JOSÉ (VILA BOA VISTA)";"local";37,00;;0,00;;0,00
"RUA SÃO JOSÉ (VILA SÃO PEDRO)";"local";283,00;;0,00;;0,00
"RUA SÃO JUDAS TADEU";"local";115,00;;0,00;;0,00
"RUA SÃO JUDAS TADEU";"local";115,00;;378,00;;0,00
"RUA SÃO PEDRO (VILA SÃO PEDRO)";"local";143,00;;0,00;;0,00
"RUA SÃO RAIMUNDO (VILA MARIANA)";"local";157,00;;0,00;;0,00
"RUA SÃO ROQUE (VILA SÃO PEDRO)";"local";132,00;;0,00;;0,00
"RUA SÃO TOMÉ";"local";92,00;;0,00;;0,00
"RUA SEBASTIÃO EVANGELISTA BARBOSA";"local";126,00;;766,00;;0,00
"RUA TANCREDO NEVES (VILA SÃO PEDRO)";"local";191,00;;0,00;;0,00
"RUA TEREZA DELTA";"local";41,00;;0,00;;0,00
"RUA TERTULIANO JUNIOR";"local";377,00;;0,00;;0,00
"RUA TIGRE";"local";20,00;;277,00;;0,00
"RUA TRIBUTINO NUNES";"local";270,00;;0,00;;0,00
"RUA TRIBUTINO NUNES";"local";270,00;;0,00;;0,00
"RUA UBIRAJARA (VILA SÃO PEDRO)";"local";296,00;;229,00;;0,00
"RUA UNIÃO (VILA SÃO PEDRO)";"local";182,00;;0,00;;0,00
"RUA URBANO CONTESINI";"local";253,00;;0,00;;0,00
"RUA VASCO DA GAMA (VILA SÃO PEDRO)";"local";80,00;;0,00;;0,00
